GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children of the householder under 18 years:,Margin of Error; Married-couple family: - With own children of the householder under 18 years:,Estimate; Married-couple family: - With own children of the householder under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children of the householder under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children of the householder under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children of the householder under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children of the householder under 18 years,Margin of Error; Married-couple family: - No own children of the householder under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children of the householder under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children of the householder under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children of the householder under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children of the householder under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children of the householder under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children of the householder under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children of the householder under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children of the householder under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children of the householder under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children of the householder under 18 years"
0400000US09,09,Connecticut,895667,3882,664611,4217,259868,3377,56495,1735,44339,1515,159034,2483,404743,2673,231056,3237,59512,1793,25271,1267,6257,666,3189,394,15825,993,34241,1356,171544,2545,91129,2051,14112,932,16406,1011,60611,1600,80415,2061
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",5126,193,4147,251,1858,196,347,114,284,103,1227,183,2289,226,979,175,380,159,226,146,176,140,0,19,50,47,154,85,599,152,321,124,3,15,57,34,261,123,278,97
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",32780,692,16977,651,7824,548,1818,295,1581,257,4425,410,9153,515,15803,634,3511,377,1363,255,475,140,187,79,701,214,2148,334,12292,581,6702,437,1159,205,1781,271,3762,444,5590,425
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",4667,182,4004,204,1705,167,277,101,402,111,1026,160,2299,226,663,163,202,100,93,84,0,19,48,76,45,39,109,59,461,122,198,97,12,19,26,30,160,83,263,110
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",19681,524,13992,597,6124,403,1423,291,1528,311,3173,308,7868,553,5689,471,1849,317,773,208,258,116,162,118,353,172,1076,262,3840,420,1931,351,267,137,544,189,1120,271,1909,278
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",5607,176,5077,190,3112,143,570,112,538,116,2004,160,1965,200,530,109,141,58,99,39,8,12,0,22,91,41,42,46,389,93,232,63,16,17,27,30,189,57,157,66
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2149,122,1928,127,856,99,104,45,58,35,694,96,1072,134,221,100,135,78,68,58,0,17,31,45,37,40,67,50,86,56,71,48,5,10,8,10,58,45,15,19
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",15234,275,13253,365,6446,263,1379,203,1043,174,4024,252,6807,314,1981,267,576,129,285,89,36,29,25,21,224,79,291,91,1405,221,602,148,84,64,53,51,465,125,803,170
