GEO.id,GEO.id2,GEO.display-label,B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Married-couple family,Margin of Error!!Total!!Married-couple family,Estimate!!Total!!Married-couple family!!With own children of the householder under 18 years,Margin of Error!!Total!!Married-couple family!!With own children of the householder under 18 years,Estimate!!Total!!Married-couple family!!With own children of the householder under 18 years!!Under 6 years only,Margin of Error!!Total!!Married-couple family!!With own children of the householder under 18 years!!Under 6 years only,Estimate!!Total!!Married-couple family!!With own children of the householder under 18 years!!Under 6 years and 6 to 17 years,Margin of Error!!Total!!Married-couple family!!With own children of the householder under 18 years!!Under 6 years and 6 to 17 years,Estimate!!Total!!Married-couple family!!With own children of the householder under 18 years!!6 to 17 years only,Margin of Error!!Total!!Married-couple family!!With own children of the householder under 18 years!!6 to 17 years only,Estimate!!Total!!Married-couple family!!No own children of the householder under 18 years,Margin of Error!!Total!!Married-couple family!!No own children of the householder under 18 years,Estimate!!Total!!Other family,Margin of Error!!Total!!Other family,"Estimate!!Total!!Other family!!Male householder, no wife present","Margin of Error!!Total!!Other family!!Male householder, no wife present","Estimate!!Total!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years","Margin of Error!!Total!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years","Estimate!!Total!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years!!Under 6 years only","Margin of Error!!Total!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years!!Under 6 years only","Estimate!!Total!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years!!Under 6 years and 6 to 17 years","Margin of Error!!Total!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years!!Under 6 years and 6 to 17 years","Estimate!!Total!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years!!6 to 17 years only","Margin of Error!!Total!!Other family!!Male householder, no wife present!!With own children of the householder under 18 years!!6 to 17 years only","Estimate!!Total!!Other family!!Male householder, no wife present!!No own children of the householder under 18 years","Margin of Error!!Total!!Other family!!Male householder, no wife present!!No own children of the householder under 18 years","Estimate!!Total!!Other family!!Female householder, no husband present","Margin of Error!!Total!!Other family!!Female householder, no husband present","Estimate!!Total!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years","Margin of Error!!Total!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years","Estimate!!Total!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years!!Under 6 years only","Margin of Error!!Total!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years!!Under 6 years only","Estimate!!Total!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years!!Under 6 years and 6 to 17 years","Margin of Error!!Total!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years!!Under 6 years and 6 to 17 years","Estimate!!Total!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years!!6 to 17 years only","Margin of Error!!Total!!Other family!!Female householder, no husband present!!With own children of the householder under 18 years!!6 to 17 years only","Estimate!!Total!!Other family!!Female householder, no husband present!!No own children of the householder under 18 years","Margin of Error!!Total!!Other family!!Female householder, no husband present!!No own children of the householder under 18 years"
0600000US0901180280,0901180280,"Waterford town, New London County, Connecticut",5127,222,4024,222,1338,160,416,122,224,106,698,154,2686,220,1103,193,302,120,146,93,33,42,10,17,103,85,156,72,801,166,332,114,28,38,32,29,272,98,469,118
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",1440,103,1313,121,516,99,92,62,87,91,337,105,797,139,127,84,55,52,23,35,0,17,23,35,0,17,32,36,72,60,23,37,1,2,0,17,22,37,49,47
0600000US0901173770,0901173770,"Stonington town, New London County, Connecticut",5102,191,4010,183,1146,154,203,68,141,53,802,141,2864,172,1092,190,305,108,188,101,28,32,41,34,119,80,117,55,787,164,454,125,64,52,58,50,332,121,333,111
0600000US0901156270,0901156270,"Norwich town, New London County, Connecticut",9658,361,6106,428,2259,314,486,156,433,163,1340,307,3847,361,3552,369,851,235,315,136,58,55,52,50,205,113,536,203,2701,365,1716,318,342,165,243,152,1131,305,985,232
0600000US0901123400,0901123400,"East Lyme town, New London County, Connecticut",4931,193,3986,220,1166,144,160,58,174,69,832,128,2820,202,945,125,267,105,128,72,21,21,0,19,107,71,139,75,678,105,341,87,38,33,24,27,279,78,337,81
0600000US0901178600,0901178600,"Voluntown town, New London County, Connecticut",718,46,584,60,184,35,25,17,30,25,129,36,400,60,134,56,47,30,11,12,0,12,3,6,8,10,36,30,87,44,61,39,5,8,0,12,56,37,26,21
0600000US0901143230,0901143230,"Lisbon town, New London County, Connecticut",1292,85,1031,97,364,69,60,45,71,43,233,69,667,96,261,87,73,54,19,20,10,17,0,12,9,13,54,52,188,77,113,56,6,10,0,12,107,55,75,59
0600000US0901148900,0901148900,"Montville town, New London County, Connecticut",4947,233,3561,280,1168,193,231,104,187,95,750,164,2393,245,1386,255,592,192,182,99,24,25,44,50,114,77,410,176,794,189,399,154,81,63,50,60,268,122,395,122
0600000US0901144210,0901144210,"Lyme town, New London County, Connecticut",732,58,624,60,170,48,63,38,29,27,78,29,454,64,108,46,58,32,34,22,0,12,0,12,34,22,24,22,50,34,19,15,0,12,0,12,19,15,31,31
