GEO.id,GEO.id2,GEO.display-label,B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Married-couple family:,Margin of Error!!Total:!!Married-couple family:,Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:,Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:,Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years only,Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years only,Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years,Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years,Estimate!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!6 to 17 years only,Margin of Error!!Total:!!Married-couple family:!!With own children of the householder under 18 years:!!6 to 17 years only,Estimate!!Total:!!Married-couple family:!!No own children of the householder under 18 years,Margin of Error!!Total:!!Married-couple family:!!No own children of the householder under 18 years,Estimate!!Total:!!Other family:,Margin of Error!!Total:!!Other family:,"Estimate!!Total:!!Other family:!!Male householder, no spouse present:","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Estimate!!Total:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Other family:!!Male householder, no spouse present:!!No own children of the householder under 18 years","Estimate!!Total:!!Other family:!!Female householder, no spouse present:","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years only","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!Under 6 years and 6 to 17 years","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!With own children of the householder under 18 years:!!6 to 17 years only","Estimate!!Total:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years","Margin of Error!!Total:!!Other family:!!Female householder, no spouse present:!!No own children of the householder under 18 years"
0600000US0900100000,900100000,"County subdivisions not defined, Fairfield County, Connecticut",13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,,,
0600000US0900104720,900104720,"Bethel town, Fairfield County, Connecticut",381,1745,246,380,156,225,77,1140,240,2084,290,1191,276,544,216,258,163,61,66,99,143,98,76,286,186,647,194,344,179,9,15,0,20,335,177,303,153,,,
0600000US0900108070,900108070,"Bridgeport town, Fairfield County, Connecticut",773,8092,587,1696,334,1847,395,4549,490,8539,588,15641,929,4038,544,1906,390,539,197,364,132,1003,316,2132,385,11603,719,5931,555,822,311,1524,255,3585,498,5672,528,,,
0600000US0900108980,900108980,"Brookfield town, Fairfield County, Connecticut",328,1746,210,283,115,443,179,1020,223,2322,345,786,207,203,104,32,33,0,20,0,20,32,33,171,97,583,169,205,117,10,17,44,66,151,84,378,134,,,
0600000US0900118500,900118500,"Danbury town, Fairfield County, Connecticut",614,6026,484,1439,309,1202,336,3385,368,8379,578,5597,539,1413,288,587,183,200,95,158,110,229,119,826,209,4184,460,2142,340,509,213,476,188,1157,260,2042,405,,,
0600000US0900118850,900118850,"Darien town, Fairfield County, Connecticut",229,2936,220,573,124,560,119,1803,193,2194,291,663,240,119,45,96,40,12,18,0,24,84,40,23,25,544,233,202,89,12,18,34,47,156,74,342,215,,,
0600000US0900123890,900123890,"Easton town, Fairfield County, Connecticut",156,704,123,109,54,45,37,550,115,1355,209,215,103,43,34,2,3,0,18,0,18,2,3,41,33,172,97,107,76,0,18,3,6,104,77,65,54,,,
0600000US0900126620,900126620,"Fairfield town, Fairfield County, Connecticut",565,6177,355,1402,250,927,165,3848,341,6678,601,2771,322,776,162,311,90,30,26,48,37,233,88,465,131,1995,297,953,194,37,29,85,67,831,169,1042,247,,,
0600000US0900133620,900133620,"Greenwich town, Fairfield County, Connecticut",415,6582,328,1378,267,1234,231,3970,304,7478,418,2466,391,566,136,338,107,17,28,25,31,296,101,228,98,1900,352,1049,325,81,60,48,35,920,307,851,178,,,
0600000US0900148620,900148620,"Monroe town, Fairfield County, Connecticut",245,2353,271,545,216,286,129,1522,236,2305,276,492,153,79,53,43,44,0,20,15,29,28,32,36,32,413,153,110,80,12,21,17,28,81,71,303,129,,,
0600000US0900150580,900150580,"New Canaan town, Fairfield County, Connecticut",287,2297,222,295,94,442,113,1560,201,2374,337,602,224,212,162,96,76,42,67,0,24,54,39,116,145,390,137,167,79,0,24,0,24,167,79,223,102,,,
0600000US0900150860,900150860,"New Fairfield town, Fairfield County, Connecticut",259,1356,135,413,132,120,57,823,151,2041,257,468,144,179,96,123,85,6,9,31,49,86,70,56,53,289,113,143,75,24,27,0,20,119,69,146,69,,,
0600000US0900152980,900152980,"Newtown town, Fairfield County, Connecticut",377,2497,227,369,109,311,105,1817,227,3816,334,1314,264,506,189,266,157,28,41,12,20,226,144,240,112,808,231,328,124,41,67,0,24,287,108,480,214,,,
0600000US0900156060,900156060,"Norwalk town, Fairfield County, Connecticut",734,6795,504,2112,289,1152,261,3531,422,9897,662,5818,588,1828,347,790,230,105,101,143,97,542,183,1038,308,3990,487,1741,325,133,75,310,150,1298,308,2249,357,,,
0600000US0900163480,900163480,"Redding town, Fairfield County, Connecticut",144,984,137,232,89,147,92,605,151,1358,182,312,95,89,67,51,55,0,18,0,18,51,55,38,40,223,76,92,47,0,18,14,16,78,45,131,65,,,
0600000US0900163970,900163970,"Ridgefield town, Fairfield County, Connecticut",245,2961,214,557,165,424,135,1980,241,3324,314,836,231,223,137,103,71,9,14,35,43,59,52,120,122,613,183,404,137,20,32,12,20,372,130,209,103,,,
