GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children under 18 years:,Margin of Error; Married-couple family: - With own children under 18 years:,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children under 18 years,Margin of Error; Married-couple family: - No own children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children under 18 years"
0400000US09,09,Connecticut,908824,3885,682029,4771,296400,3488,67564,1922,54716,1496,174120,2483,385629,2983,226795,2791,55058,1689,24345,1269,6619,625,2987,383,14739,982,30713,1286,171737,2618,99252,2221,17985,977,17017,948,64250,2048,72485,1878
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92,0,92
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",5168,204,4486,216,1999,165,621,140,264,67,1114,170,2487,234,682,169,189,83,88,68,33,53,0,92,55,46,101,57,493,144,313,116,100,75,0,92,213,105,180,91
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",31803,742,16889,744,8234,503,1963,347,2401,318,3870,394,8655,572,14914,765,2913,384,1131,245,393,136,251,140,487,147,1782,358,12001,677,7422,564,1403,296,1758,304,4261,466,4579,447
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",4670,158,4054,192,1705,129,423,115,211,69,1071,138,2349,194,616,166,169,84,80,51,18,19,0,92,62,44,89,63,447,133,184,90,45,49,0,92,139,71,263,107
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",18993,545,14153,584,6466,459,1938,277,1234,281,3294,345,7687,517,4840,494,1522,308,616,212,343,163,106,85,167,96,906,233,3318,433,1899,324,528,197,133,88,1238,256,1419,308
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",5355,124,4785,137,2953,148,551,122,563,117,1839,159,1832,143,570,118,100,51,63,36,8,13,0,92,55,34,37,34,470,119,337,114,0,92,59,50,278,101,133,61
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2099,87,1882,117,940,87,103,54,236,85,601,118,942,118,217,97,75,59,24,25,0,92,11,18,13,19,51,52,142,83,59,49,12,19,0,92,47,45,83,55
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",14475,335,12414,335,6518,231,1487,205,1230,215,3801,277,5896,293,2061,247,505,135,184,68,0,92,15,22,169,66,321,108,1556,208,740,167,78,64,56,42,606,138,816,147
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",15958,337,13431,417,7090,320,1437,209,1327,203,4326,333,6341,403,2527,328,567,152,250,115,77,72,45,49,128,77,317,96,1960,295,993,218,112,78,64,59,817,187,967,194
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",5167,182,4398,211,2209,153,332,126,437,127,1440,173,2189,208,769,189,264,121,125,74,0,92,14,23,111,69,139,101,505,142,203,90,15,25,14,22,174,86,302,113
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",5333,168,4607,191,2723,134,420,120,539,149,1764,196,1884,179,726,161,177,95,76,77,0,92,0,92,76,77,101,62,549,140,263,114,18,29,10,16,235,110,286,94
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",3628,132,3231,172,1659,141,185,88,331,87,1143,145,1572,148,397,122,48,36,21,24,0,92,11,17,10,17,27,23,349,119,122,57,30,26,24,26,68,47,227,101
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",7174,229,6524,271,3475,209,646,159,478,95,2351,195,3049,252,650,145,199,74,88,54,38,44,12,16,38,36,111,54,451,135,235,103,53,46,0,92,182,91,216,86
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",21591,525,16771,615,6430,421,2288,311,1213,202,2929,312,10341,604,4820,485,1243,278,420,126,150,105,13,21,257,107,823,219,3577,408,1811,296,274,141,416,154,1121,242,1766,292
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",2511,119,2097,136,878,122,147,82,122,55,609,117,1219,137,414,126,118,75,45,43,0,92,0,92,45,43,73,63,296,111,212,103,11,20,31,49,170,85,84,49
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",6770,153,6110,248,3278,201,577,144,525,111,2176,187,2832,249,660,194,130,58,57,38,9,15,0,92,48,35,73,45,530,172,349,157,42,61,10,16,297,137,181,79
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",10513,265,8882,300,3604,244,783,162,529,128,2292,260,5278,284,1631,224,399,106,108,49,0,92,0,92,108,49,291,101,1232,200,529,166,116,49,25,31,388,154,703,153
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",996,63,851,103,395,55,57,40,51,37,287,69,456,97,145,68,28,28,10,17,0,92,0,92,10,17,18,21,117,65,50,48,0,92,12,18,38,44,67,50
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",29277,614,21599,643,10470,490,3168,340,1984,305,5318,445,11129,574,7678,609,2261,346,788,217,287,124,102,82,399,153,1473,300,5417,525,2815,418,618,237,529,188,1668,309,2602,390
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",13248,314,10076,363,4252,275,1123,188,761,164,2368,281,5824,337,3172,293,632,153,130,58,8,13,21,24,101,48,502,140,2540,266,1212,223,130,71,193,112,889,178,1328,201
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",9758,229,8401,284,4305,245,807,173,686,136,2812,250,4096,269,1357,233,426,96,123,63,32,33,0,92,91,63,303,91,931,206,494,161,109,89,10,15,375,125,437,141
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",2753,93,2532,114,1520,85,184,66,217,74,1119,125,1012,108,221,95,112,71,76,58,0,92,0,92,76,58,36,33,109,60,82,55,0,92,15,24,67,45,27,26
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",7166,253,6296,247,3433,186,597,154,554,112,2282,189,2863,241,870,185,260,82,78,53,17,28,0,92,61,44,182,71,610,158,441,127,80,59,90,67,271,94,169,80
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",4816,144,4447,164,2582,120,437,110,459,87,1686,166,1865,190,369,105,116,67,39,33,9,16,0,92,30,29,77,58,253,90,187,84,14,16,15,23,158,80,66,41
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",4955,170,4299,172,2097,127,250,100,462,124,1385,159,2202,176,656,161,138,65,49,36,0,92,10,17,39,32,89,52,518,145,290,118,69,47,14,16,207,109,228,95
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",5510,185,4564,231,1776,160,346,122,306,110,1124,162,2788,222,946,172,383,135,110,66,12,19,28,32,70,58,273,115,563,141,278,106,34,31,14,22,230,102,285,115
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",5130,244,3503,210,973,183,137,92,218,109,618,146,2530,228,1627,252,414,154,141,89,0,92,22,24,119,84,273,115,1213,220,563,173,76,51,34,41,453,154,650,142
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",15829,350,11275,454,4703,322,1196,217,869,156,2638,293,6572,416,4554,403,1280,270,576,155,163,102,64,70,349,108,704,208,3274,381,1801,279,274,123,317,116,1210,271,1473,262
0600000US0900310100,0900310100,"Burlington town, Hartford County, Connecticut",2695,103,2256,119,1216,108,234,96,161,70,821,128,1040,132,439,114,135,72,59,44,0,92,0,92,59,44,76,64,304,112,224,105,25,25,0,92,199,102,80,49
